"STFIPS","GEO","ITEM","Farrow to wean Farms","Farrow to wean Number","Farrow to finish Farms","Farrow to finish Number","Finish only Farms","Finish only Number","Farrow to feeder Farms","Farrow to feeder Number","Nursery Farms","Nursery Number","Other Farms","Other Number"
"01","Alabama","Total inventory",33,25185,201,10065,164,91268,96,13316,8,36761,251,1680
"02","Alaska","Total inventory",9,103,22,511,8,"(D)",-,-,-,-,4,"(D)"
"04","Arizona","Total inventory",31,295,124,"(D)",69,243,39,1263,-,-,115,994
"05","Arkansas","Total inventory",199,162423,308,13229,214,60422,88,2211,17,36625,316,14432
"06","California","Total inventory",144,5033,315,117484,369,3248,216,25897,4,102,341,2219
"08","Colorado","Total inventory",83,171071,361,372269,448,"(D)",115,"(D)",2,"(D)",162,9322
"09","Connecticut","Total inventory",22,798,71,1152,87,428,24,1003,-,-,40,264
"10","Delaware","Total inventory",4,"(D)",16,"(D)",28,"(D)",10,88,6,12,13,"(D)"
"12","Florida","Total inventory",144,1389,512,7828,411,2732,182,4622,21,84,636,3282
"13","Georgia","Total inventory",78,52820,281,83102,183,69729,142,20722,9,21308,418,15790
"15","Hawaii","Total inventory",24,645,114,12939,20,188,8,66,3,3,56,1092
"16","Idaho","Total inventory",103,1535,177,26070,228,3271,19,940,-,-,130,978
"17","Illinois","Total inventory",188,726214,1043,1385528,1130,1631288,116,70530,41,84207,346,400949
"18","Indiana","Total inventory",180,250349,1243,1616827,1222,1335024,269,77200,55,140798,451,248859
"19","Iowa","Total inventory",304,806634,2206,4122235,4424,11061280,201,425511,444,969042,751,1910390
"20","Kansas","Total inventory",104,63717,540,880160,475,792455,130,17846,19,103237,186,27837
"21","Kentucky","Total inventory",124,28186,468,189258,391,95162,91,17935,8,87,416,17395
"22","Louisiana","Total inventory",83,1730,152,2510,160,858,93,2385,-,-,230,3132
"23","Maine","Total inventory",42,219,139,2260,146,695,13,845,3,9,94,373
"24","Maryland","Total inventory",41,4232,134,"(D)",112,"(D)",36,"(D)",6,46,83,780
"25","Massachusetts","Total inventory",24,990,115,4071,97,1022,84,4960,5,35,128,475
"26","Michigan","Total inventory",75,37644,844,445065,1137,459273,244,25734,19,43722,372,20616
"27","Minnesota","Total inventory",150,558628,1181,2163010,2280,3734504,188,157806,164,446479,419,591857
"28","Mississippi","Total inventory",30,"(D)",164,96986,136,148160,41,410,14,"(D)",298,14965
"29","Missouri","Total inventory",237,437283,1153,1519498,812,599490,232,39869,105,394919,460,110410
"30","Montana","Total inventory",36,2794,169,173511,177,"(D)",21,"(D)",-,-,80,427
"31","Nebraska","Total inventory",116,529778,702,1032725,1123,1324395,100,185144,83,173267,89,23235
"32","Nevada","Total inventory",8,"(D)",12,"(D)",40,595,7,155,-,-,24,77
"33","New Hampshire","Total inventory",31,232,89,1321,79,982,15,160,2,"(D)",50,"(D)"
"34","New Jersey","Total inventory",16,"(D)",68,1989,141,5388,22,603,1,"(D)",23,"(D)"
