"STFIPS","GEO","ITEM","2002 Farms","2002 Number","1997 Farms","1997 Number"
"01","Alabama","Total hogs and pigs",576,168013,1282,196561
"02","Alaska","Total hogs and pigs",48,1201,53,2112
"04","Arizona","Total hogs and pigs",208,"(D)",376,143287
"05","Arkansas","Total hogs and pigs",846,305659,1369,866082
"06","California","Total hogs and pigs",1521,163465,2351,221174
"08","Colorado","Total hogs and pigs",989,783467,1335,791529
"09","Connecticut","Total hogs and pigs",157,3232,298,6139
"10","Delaware","Total hogs and pigs",84,11775,147,33642
"12","Florida","Total hogs and pigs",1471,33479,2352,62967
"13","Georgia","Total hogs and pigs",1148,347816,2280,539913
"15","Hawaii","Total hogs and pigs",204,23364,248,29440
"16","Idaho","Total hogs and pigs",841,23352,917,33875
"17","Illinois","Total hogs and pigs",3929,4094706,7385,4677231
"18","Indiana","Total hogs and pigs",4087,3478570,6809,3926726
"19","Iowa","Total hogs and pigs",10205,15486531,17585,14513319
"20","Kansas","Total hogs and pigs",1648,1520996,3005,1574839
"21","Kentucky","Total hogs and pigs",1254,385811,2129,584632
"22","Louisiana","Total hogs and pigs",680,18262,906,25229
"23","Maine","Total hogs and pigs",328,4637,486,7017
"24","Maryland","Total hogs and pigs",355,"(D)",625,82741
"25","Massachusetts","Total hogs and pigs",273,11434,543,21309
"26","Michigan","Total hogs and pigs",2180,927400,3316,1024236
"27","Minnesota","Total hogs and pigs",5628,6440067,7765,5665364
"28","Mississippi","Total hogs and pigs",692,302190,1477,236184
"29","Missouri","Total hogs and pigs",3449,2909609,5593,3529932
"30","Montana","Total hogs and pigs",454,172951,708,181033
"31","Nebraska","Total hogs and pigs",3075,2933620,6312,3474386
"32","Nevada","Total hogs and pigs",110,"(D)",137,7550
"33","New Hampshire","Total hogs and pigs",208,2718,355,5843
"34","New Jersey","Total hogs and pigs",357,14162,523,25390
"35","New Mexico","Total hogs and pigs",346,3489,547,8276
"36","New York","Total hogs and pigs",1527,81886,1731,80861
"37","North Carolina","Total hogs and pigs",2542,9887421,3582,9631290
"38","North Dakota","Total hogs and pigs",433,138838,838,199750
"39","Ohio","Total hogs and pigs",4286,1422966,6637,1687708
"40","Oklahoma","Total hogs and pigs",2491,2246926,3575,1697850
"41","Oregon","Total hogs and pigs",1283,20941,1709,36617
"42","Pennsylvania","Total hogs and pigs",3825,1226845,4359,1094066
"44","Rhode Island","Total hogs and pigs",64,2381,89,3763
"45","South Carolina","Total hogs and pigs",900,291743,1420,311650
"46","South Dakota","Total hogs and pigs",1506,1375506,3027,1394357
"47","Tennessee","Total hogs and pigs",1491,230532,2532,342805
"48","Texas","Total hogs and pigs",4671,953290,7431,615705
"49","Utah","Total hogs and pigs",518,670047,565,293170
"50","Vermont","Total hogs and pigs",206,2019,320,3477
"51","Virginia","Total hogs and pigs",855,409284,1533,389752
"53","Washington","Total hogs and pigs",961,30289,1219,40152
"54","West Virginia","Total hogs and pigs",808,12773,827,17970
"55","Wisconsin","Total hogs and pigs",2993,535393,3974,758141
"56","Wyoming","Total hogs and pigs",184,114047,307,91107
"99","United States","Total hogs and pigs",78895,60405103,124889,61188149
